movie_title,genre,release_date,director,box_office_revenue,rating,duration_minutes,production_company,quote
Heart Condition,Romance,9/13/1914,Chandal Wantling,$33200800.81,8.0,114,Demivee,Ergonomic exuding task-force
Nothing Left to Fear,Drama,9/22/1947,Terence De Winton,$30484332.01,8.0,119,Gabcube,Visionary bottom-line methodology
Love's Enduring Promise,Romance,1/30/1966,Kimberley Randall,$40280584.83,0.9,98,Ailane,Extended context-sensitive paradigm
Machine Gun Preacher,Comedy,1/29/1910,Yorgos Brumble,$69498120.97,8.0,126,Camimbo,Automated actuating info-mediaries
Kwaidan (Kaidan),Romance,6/5/1948,Martina Johann,$47230463.09,5.9,234,Quinu,Optimized real-time forecast
Whatever Lola Wants,Comedy,6/15/1957,Codie Shwalbe,$30854652.78,8.7,75,Zoombox,Open-source empowering open architecture
Cria! (Cría cuervos),Romance,5/27/2007,Augie O'Dooghaine,$97353426.31,1.0,203,Wikizz,Sharable modular projection
Sheena,Romance,4/28/1937,Miguelita Moralee,$8287848.95,0.5,185,Flashdog,Front-line leading edge website
Freedom,Drama,3/10/1947,Tull Ravenscroft,$63738044.32,2.4,92,Jabbercube,Ergonomic context-sensitive synergy
Sambizanga,Drama,9/15/1977,Wayne Wind,$11504245.10,1.5,219,Wikivu,Automated multi-state workforce
Journey to the Center of the Earth,Horror,8/1/1992,Doyle MacCaffery,$37766310.04,8.8,71,Skynoodle,Pre-emptive 24 hour local area network
Sisters,Romance,12/23/1914,Doralynne Claasen,$99216403.48,5.3,123,Yambee,Decentralized national solution
The Count of Monte Cristo,Drama,4/24/1965,Ketti Strachan,$35363767.98,6.6,119,Fadeo,Ergonomic multi-state circuit
Tea For Two,Comedy,3/7/1929,Ashely Bown,$33664722.14,0.6,69,Skippad,Future-proofed logistical open architecture
Turks & Caicos,Drama,8/30/1942,Rodrique Redfearn,$6610619.04,8.7,233,Shufflebeat,De-engineered secondary toolset
Elephant,Action,9/16/1951,Conney Barbe,$96834974.72,9.1,83,Dynabox,Secured demand-driven open architecture
Extreme Prejudice,Comedy,4/23/1982,Mitchell Silliman,$46940660.64,8.1,124,Demizz,Synergistic client-driven synergy
"Waterdance, The",Action,11/9/1930,Saundra Greaser,$58159689.73,5.4,151,InnoZ,Persevering solution-oriented emulation
Raiders of the Lost Ark: The Adaptation,Horror,4/7/2020,Kellen Klejna,$37634467.90,1.0,103,Fatz,Digitized background moderator
Torque,Drama,3/13/2015,Hyman Akaster,$33765934.60,5.5,170,Gigazoom,De-engineered multi-state access
More American Graffiti,Romance,12/26/1912,Dore Klausen,$31099135.80,2.7,214,Mudo,Inverse coherent instruction set
"Very British Gangster, A",Drama,2/25/1943,Rena Turpin,$88612842.52,8.8,173,Buzzster,Up-sized intangible application
Private Parts,Romance,7/27/1920,Wilt Huddy,$72774622.21,7.4,228,Myworks,Polarised upward-trending support
High Heels and Low Lifes,Romance,10/14/1937,Kathie Dudderidge,$33197280.63,6.9,238,Jaxbean,Persevering client-server standardization
"Life is a Bed of Roses (Vie est un roman, La)",Drama,1/3/1980,Lanny Glasscott,$53749499.18,0.2,222,Roodel,Intuitive asymmetric website
